,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Adam Masina,25,MAR,LB,23-230,90,0,0,0,0,0,0,0,0,53,3,0,2,0.0,0.0,0.0,3,0,25,45,55.6,1,22,2,0,0,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Andrea Poli,16,ITA,RM,27-325,69,0,0,0,0,0,0,0,0,30,4,1,2,0.0,0.0,0.1,3,0,21,23,91.3,0,20,1,0,0,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Antonio Mirante,83,ITA,GK,34-043,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,24,36,66.7,0,16,0,0,0,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Domenico Maietta,20,ITA,CB,35-017,90,0,0,0,0,0,0,0,0,51,1,2,1,0.0,0.0,0.0,0,0,40,44,90.9,7,25,0,2,2,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Erick Pulgar,5,CHI,CM,23-217,90,0,0,0,0,2,0,1,0,54,1,0,1,0.1,0.1,0.0,1,0,35,43,81.4,4,31,0,0,0,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Federico Di Francesco,14,ITA,LW,23-067,90,1,0,0,0,6,1,0,0,36,1,1,3,0.3,0.3,0.0,1,0,17,20,85.0,2,26,4,2,2,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Godfred Donsah,77,GHA,RW,21-074,21,0,0,0,0,1,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,2,0,0,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Ladislav Krejčí,11,CZE,CM,25-046,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,2,4,50.0,0,1,1,0,0,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Mattia Destro,10,ITA,FW,26-153,90,0,0,0,0,1,1,0,0,19,1,0,0,0.1,0.1,0.1,5,0,11,12,91.7,2,15,1,2,1,7697c084
ITA-Serie A,1718,2017-08-20 Bologna-Torino,Bologna,Rodrigo Palacio,24,ARG,RM,35-196,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,3,0,0,0,7697c084
