,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Mikel Oyarzabal,18,ESP,LW,20-120,66,1,0,0,0,1,1,0,0,20,0,1,0,0.1,0.1,0.0,0,0,10,14,71.4,1,13,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Raúl Navas,22,ESP,CB,29-100,90,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.0,1,0,36,45,80.0,2,28,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Sergio Canales,16,ESP,RW,26-184,56,0,0,0,0,3,1,0,0,35,3,0,0,0.1,0.1,0.1,4,0,23,28,82.1,3,18,1,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Willian José,12,BRA,FW,25-269,90,1,1,1,1,3,0,0,0,42,1,0,0,1.0,0.2,0.8,7,2,26,34,76.5,5,26,2,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Xabi Prieto,10,ESP,RM,33-355,81,0,0,0,0,0,0,0,0,32,2,0,0,0.0,0.0,0.0,3,0,23,27,85.2,3,18,0,0,0,02357c77
ESP-La Liga,1718,2017-08-19 Celta Vigo-Real Sociedad,Real Sociedad,Álvaro Odriozola,19,ESP,RB,21-248,90,0,0,0,0,1,1,0,0,54,2,0,2,0.0,0.0,0.0,2,1,36,41,87.8,2,22,3,1,0,02357c77
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Antoine Griezmann,7,FRA,FW,26-151,66,0,0,0,0,1,0,1,1,15,0,0,0,0.1,0.1,0.0,1,0,11,13,84.6,1,9,1,0,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Fernando Torres,9,ESP,FW,33-152,72,0,0,0,0,0,0,0,0,22,3,0,0,0.0,0.0,0.0,1,0,11,18,61.1,2,7,0,2,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Gabi,14,ESP,CM,34-040,68,0,0,0,0,0,0,0,0,55,3,0,0,0.0,0.0,0.0,0,0,31,47,66.0,6,38,2,0,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Jan Oblak,13,SVN,GK,24-224,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,13,0,0,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,José María Giménez,24,URU,CB,22-211,90,1,0,0,0,1,1,0,0,49,1,0,1,0.1,0.1,0.0,1,1,34,40,85.0,1,27,0,0,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Juanfran,20,ESP,RB,32-222,57,0,0,0,0,1,0,0,0,31,0,1,0,0.0,0.0,0.0,0,0,16,24,66.7,1,14,2,0,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Koke,6,ESP,"LM,CM",25-223,90,0,1,0,0,0,0,0,0,72,1,0,1,0.0,0.0,0.1,2,1,54,70,77.1,6,41,1,1,1,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Lucas Hernández,19,FRA,"LB,CB",21-186,90,0,1,0,0,0,0,1,0,61,3,1,0,0.0,0.0,0.0,3,1,38,50,76.0,1,28,1,2,2,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Luciano Vietto,17,ARG,FW,23-257,18,0,0,0,0,1,0,0,0,4,0,0,0,0.3,0.3,0.0,1,0,2,3,66.7,0,3,0,0,0,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Nicolás Gaitán,22,ARG,CM,29-177,22,0,0,0,0,1,0,0,0,11,1,0,0,0.1,0.1,0.1,1,0,9,9,100.0,2,8,1,1,1,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Saúl Ñíguez,8,ESP,"CM,WB",22-271,90,0,0,0,0,1,0,1,0,62,3,2,0,0.0,0.0,0.0,1,0,38,47,80.9,8,25,2,4,3,a8696eaa
ESP-La Liga,1718,2017-08-19 Girona-Atlético Madrid,Atlético Madrid,Stefan Savić,15,MNE,CB,26-223,90,0,0,0,0,0,0,0,0,63,0,1,0,0.0,0.0,0.0,0,0,47,54,87.0,7,36,0,0,0,a8696eaa
