,,,,,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
league,season,game,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Benjamin Hübner,21,GER,CB,28-046,90,0,0,0,0,0,0,0,0,79,0,3,1,0.0,0.0,0.0,1,0,67,72,93.1,9,43,4,0,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Dennis Geiger,32,GER,DM,19-070,73,0,0,0,0,1,0,0,0,75,1,2,1,0.0,0.0,0.0,3,0,67,69,97.1,6,46,0,0,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Eugen Polanski,8,POL,DM,31-155,17,0,0,0,0,0,0,0,0,19,3,0,1,0.0,0.0,0.0,1,0,16,17,94.1,0,9,1,0,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Håvard Nordtveit,6,NOR,CB,27-059,90,0,0,0,0,1,0,0,0,77,0,3,0,0.1,0.1,0.0,2,0,56,72,77.8,9,53,3,0,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Jeremy Toljan,15,GER,RW,23-011,90,0,0,0,0,0,0,0,0,56,0,0,1,0.0,0.0,0.0,3,0,46,52,88.5,1,27,1,1,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Kerem Demirbay,10,GER,CM,24-047,90,0,0,0,0,4,1,0,0,82,3,1,3,0.6,0.6,0.0,5,0,47,66,71.2,5,52,2,7,1,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Kevin Vogt,22,GER,CB,25-330,90,0,0,0,0,0,0,0,0,114,5,0,1,0.0,0.0,0.0,0,0,99,106,93.4,10,74,2,0,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Mark Uth,19,GER,FW,25-360,66,0,0,0,0,0,0,0,0,27,0,1,2,0.0,0.0,0.6,3,0,20,23,87.0,2,21,0,1,1,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Nadiem Amiri,18,GER,CM,20-296,63,0,0,0,0,2,0,0,0,43,2,1,3,0.1,0.1,0.0,0,0,22,29,75.9,2,31,1,1,1,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Oliver Baumann,1,GER,GK,27-078,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,24,34,70.6,0,24,0,0,0,7fa19f7c
GER-Bundesliga,1718,2017-08-19 Hoffenheim-Werder Bremen,Hoffenheim,Serge Gnabry,29,GER,FW,22-036,24,0,0,0,0,2,1,0,0,16,0,0,0,0.1,0.1,0.0,1,1,8,9,88.9,1,13,2,5,3,7fa19f7c
